"Inventory Reference","Inventories/Location","Inventories/Product","Inventories / Counted Quantity"
,"ASB/Stock","4049775572714",0
,"ASB/Stock","4049775572912",0
,"ASB/Stock","4049775573117",0
,"ASB/Stock","4049775573216",0
,"ASB/Stock","4049775573315",0
,"ASB/Stock","4049775573414",0
,"ASB/Stock","4049775573513",0
,"ASB/Stock","4049775573902",0
,"ASB/Stock","4049775574312",0
,"ASB/Stock","4049775574916",0
,"ASB/Stock","4049775580009",0
,"ASB/Stock","4049775580702",0
,"ASB/Stock","4049775580801",0
,"ASB/Stock","4049775580900",0
,"ASB/Stock","4049775582256",0
,"ASB/Stock","4049775582331",0
,"ASB/Stock","4049775582454",0
,"ASB/Stock","4049775582539",0
,"ASB/Stock","4049775584021",0
,"ASB/Stock","4049775584120",0
,"ASB/Stock","4049775584229",0
,"ASB/Stock","4049775584328",0
,"ASB/Stock","4049775585004",0
,"ASB/Stock","4049775585110",0
,"ASB/Stock","4049775587527",0
,"ASB/Stock","4049775587626",0
,"ASB/Stock","4049775587701",0
,"ASB/Stock","4049775587800",0
,"ASB/Stock","4049775587909",0
,"ASB/Stock","4049775588005",0
,"ASB/Stock","4049775590237",0
,"ASB/Stock","4049775590336",0
,"ASB/Stock","4049775590428",0
,"ASB/Stock","4049775590541",0
,"ASB/Stock","4049775590640",0
,"ASB/Stock","4049775590831",0
,"ASB/Stock","4049775591142",0
,"ASB/Stock","4049775591234",0
,"ASB/Stock","4049775591333",0
,"ASB/Stock","4049775591432",0
,"ASB/Stock","4049775591524",0
,"ASB/Stock","4049775591647",0
,"ASB/Stock","4049775591722",0
,"ASB/Stock","4049775591845",0
,"ASB/Stock","4049775592125",0
,"ASB/Stock","4049775592224",0
,"ASB/Stock","4049775592521",0
,"ASB/Stock","4049775592620",0
,"ASB/Stock","4049775592729",0
,"ASB/Stock","4049775595010",0
,"ASB/Stock","4049775595126",0
,"ASB/Stock","4049775596307",0
,"ASB/Stock","4049775596505",0
,"ASB/Stock","4049775596604",0
,"ASB/Stock","4049775596802",0
,"ASB/Stock","4049775598004",0
,"ASB/Stock","4049775614629",0
,"ASB/Stock","4049775948663",0
,"ASB/Stock","4049775948717",0
,"ASB/Stock","41554238679",0
,"ASB/Stock","41554238686",0
,"ASB/Stock","41554238709",0
,"ASB/Stock","41554238716",0
,"ASB/Stock","41554238730",0
,"ASB/Stock","41554238761",0
,"ASB/Stock","41554238822",0
,"ASB/Stock","41554238839",0
,"ASB/Stock","41554238846",0
,"ASB/Stock","41554238877",0
,"ASB/Stock","41554247718",0
,"ASB/Stock","41554247725",0
,"ASB/Stock","41554247749",0
,"ASB/Stock","41554259247",0
,"ASB/Stock","41554259254",0
,"ASB/Stock","41554259261",0
,"ASB/Stock","41554339697",0
