"Inventory Reference","Inventories/Location","Inventories/Product","Inventories / Counted Quantity"
,"WEB/Stock","8992727006354",3
,"WEB/Stock","8992727006361",1
,"WEB/Stock","8992727003810",0
,"WEB/Stock","8992727003827",4
,"WEB/Stock","8992727003841",0
,"WEB/Stock","8992727001694",3
,"WEB/Stock","8992727001687",3
,"WEB/Stock","8992727001793",3
,"WEB/Stock","8992727006330",3
,"WEB/Stock","8992727005111",0
,"WEB/Stock","8992727003537",1
,"WEB/Stock","8992727005166",2
,"WEB/Stock","8992727002875",4
,"WEB/Stock","8992727002882",2
,"WEB/Stock","8992727002837",2
,"WEB/Stock","8992727005937",1
,"WEB/Stock","4901301258748",2
,"WEB/Stock","4901301363268",1
,"WEB/Stock","4901301363749",7
,"WEB/Stock","4901301368539",3
,"WEB/Stock","93552073",1
,"WEB/Stock","9300807327012",1
,"WEB/Stock","93551205",2
,"WEB/Stock","93553872",0
,"WEB/Stock","93549271",1
,"WEB/Stock","9300807301449",2
,"WEB/Stock","93549349",0
,"WEB/Stock","93549318",1
,"WEB/Stock","93551854",2
,"WEB/Stock","9300807301555",0
,"WEB/Stock","93549288",2
,"WEB/Stock","93550178",0
,"WEB/Stock","93549363",2
,"WEB/Stock","BLCMP",0
,"WEB/Stock","9300807302491",0
,"WEB/Stock","93551847",0
,"WEB/Stock","93549325",1
,"WEB/Stock","9300807301869",2
,"WEB/Stock","93553605",18
,"WEB/Stock","93549554",0
,"WEB/Stock","9300807302545",1
,"WEB/Stock","9300807308509",1
,"WEB/Stock","9300807313510",0
,"WEB/Stock","9300807308547",5
,"WEB/Stock","93549264",0
,"WEB/Stock","BM-VIT-D3",0
,"WEB/Stock","8997031665372-2",1
,"WEB/Stock","8997031665334",2
,"WEB/Stock","8997031665341",1
,"WEB/Stock","8997031665358",1
,"WEB/Stock","8997031665266",1
,"WEB/Stock","8997031662067",1
,"WEB/Stock","8997031665280",1
,"WEB/Stock","8997031665297",1
,"WEB/Stock","8997031662081",1
,"WEB/Stock","8997031665389",1
,"WEB/Stock","8997031661268",1
,"WEB/Stock","8997031665556",1
,"WEB/Stock","8997031665600",1
,"WEB/Stock","8997031665617",1
,"WEB/Stock","8997031661091",1
,"WEB/Stock","8997031665327",1
,"WEB/Stock","8997031661251",1
,"WEB/Stock","8997031665884",1
,"WEB/Stock","8997031665853",1
,"WEB/Stock","8997031665839",1
,"WEB/Stock","8997031665808",1
,"WEB/Stock","8997031660803",1
,"WEB/Stock","8997031661213",1
,"WEB/Stock","8997031661244",1
,"WEB/Stock","8997031662012",1
,"WEB/Stock","8997031665228",1
,"WEB/Stock","8997031665235",1
,"WEB/Stock","8997031665426",1
,"WEB/Stock","8997031661329",1
,"WEB/Stock","8997031665402",1
,"WEB/Stock","8997031665396",1
,"WEB/Stock","8997031665365",1
,"WEB/Stock","8999908285003",3
,"WEB/Stock"," 8999908285003",0
,"WEB/Stock","8999908250902",3
,"WEB/Stock"," 8999908250902",0
,"WEB/Stock","8999908000705",0
,"WEB/Stock","7613036123532",1
,"WEB/Stock","B1G1-0001",4
,"WEB/Stock","B1G1-0002",4
,"WEB/Stock","B1G1-48193",0
,"WEB/Stock","VP-00390",0
,"WEB/Stock","B1G1F-Freeman-0004-2",0
,"WEB/Stock","B1G1-0003",10
,"WEB/Stock","BOGOF-00006",0
,"WEB/Stock","8993005202031",3
,"WEB/Stock","8993005124029",1
,"WEB/Stock","8993005202024",5
,"WEB/Stock","8993005202055",1
,"WEB/Stock","8993176111286",0
,"WEB/Stock","8993176111293",0
,"WEB/Stock","8993176720822",0
,"WEB/Stock","8993176721027",0
,"WEB/Stock","8993176110067",0
,"WEB/Stock","8993176811094",0
,"WEB/Stock","8993176721980",0
,"WEB/Stock","8998103010823",2
,"WEB/Stock","8998103010830",2
,"WEB/Stock","8850169802012",2
,"WEB/Stock","8850169822010",0
,"WEB/Stock","8998103010809",0
,"WEB/Stock","Carmed-02",5
,"WEB/Stock","Carmed-01",8
,"WEB/Stock","8994591080010",0
,"WEB/Stock","8994591010031",3
,"WEB/Stock","8994591010017",15
,"WEB/Stock","8994591010055",2
,"WEB/Stock","8994591010024",0
,"WEB/Stock","CETAPHIL-001",6
,"WEB/Stock","9318637043316",31
,"WEB/Stock","Cetaphil-008",10
,"WEB/Stock","9318637043293",60
,"WEB/Stock","9318637044009",64
,"WEB/Stock","Cetaphil-010",19
,"WEB/Stock","Cetaphil-009",0
,"WEB/Stock","9318637043330",11
,"WEB/Stock","9318637043309",10
,"WEB/Stock","CETAPHIL-016",0
,"WEB/Stock","CETAPHIL-014",11
,"WEB/Stock","CETAPHIL-012",10
,"WEB/Stock","CETAPHIL-015",5
,"WEB/Stock","CETAPHIL-013",18
,"WEB/Stock","302993914082",11
,"WEB/Stock","9318637044030",10
,"WEB/Stock","3499320004206",5
,"WEB/Stock","9318637043002",59
,"WEB/Stock","9318637043002-FT",0
,"WEB/Stock","9318637070510",22
,"WEB/Stock","9318637072378",2
,"WEB/Stock","9318637069637",58
,"WEB/Stock","302993917168",10
,"WEB/Stock","3499320000321",1
,"WEB/Stock","3499320007696",1
,"WEB/Stock","772618061253",12
,"WEB/Stock","9318637043842",73
,"WEB/Stock","3499320003063",0
,"WEB/Stock","8992802003018",2
,"WEB/Stock","8992802180030",2
,"WEB/Stock","8992802001137",1
,"WEB/Stock","8998866100168",1
,"WEB/Stock","8998866181082",1
,"WEB/Stock","8998866106191",1
,"WEB/Stock","8991111112091",2
,"WEB/Stock","9556006283110",2
,"WEB/Stock","9556006283127",1
,"WEB/Stock","8991111111964",1
,"WEB/Stock","8850007700050",4
,"WEB/Stock","4901730070010",2
,"WEB/Stock","SWAB-TEST-001",0
,"WEB/Stock","6920354820601",1
,"WEB/Stock","8850006331866",1
,"WEB/Stock","8850006340769",1
,"WEB/Stock","700",4
,"WEB/Stock","CORINE003",5
,"WEB/Stock","3468080100749",1
,"WEB/Stock","3468080100725",1
,"WEB/Stock","3468080100787",2
,"WEB/Stock","3468080106048",2
,"WEB/Stock","706",1
,"WEB/Stock","CORINE010",3
,"WEB/Stock","3468080406476",2
,"WEB/Stock","747",2
,"WEB/Stock","3468080407121",1
,"WEB/Stock","18033",1
,"WEB/Stock","FM-WX102023871",1
,"WEB/Stock","8998103101118",1
,"WEB/Stock","8998103004600",2
,"WEB/Stock","8998103011776",0
,"WEB/Stock","8998103100999",1
,"WEB/Stock","8998103011868",0
,"WEB/Stock","8998103008165",5
,"WEB/Stock","8888103208026",2
,"WEB/Stock","8998103010724",1
,"WEB/Stock","8998103016191",3
,"WEB/Stock","8998103004846",1
,"WEB/Stock","8998103013077",3
,"WEB/Stock","8998103011578",1
,"WEB/Stock","8998103101026",2
,"WEB/Stock","8998103015507",3
,"WEB/Stock","8998103015491",3
,"WEB/Stock","8998103015453",1
,"WEB/Stock","88820286",2
,"WEB/Stock","8998103011837",4
,"WEB/Stock","8998103004495",1
,"WEB/Stock","8998103000565",1
,"WEB/Stock","8998103012643",1
,"WEB/Stock","8998103011332",1
,"WEB/Stock","8888103003492",3
,"WEB/Stock","8998103014593",0
,"WEB/Stock","8998103014586",1
,"WEB/Stock","8998103014388",1
,"WEB/Stock","8998103100685",2
,"WEB/Stock","8998103100692",2
,"WEB/Stock","8888103006882",0
,"WEB/Stock","8998103012056",1
,"WEB/Stock","8998103012049",1
,"WEB/Stock","8998103012094",1
,"WEB/Stock","8888103003881",3
,"WEB/Stock","8998103012445",1
