"Inventory Reference","Inventories/Location","Inventories/Product","Inventories / Counted Quantity"
,"MKP/Stock","8992727006354",12
,"MKP/Stock","8992727006361",0
,"MKP/Stock","8992727003810",0
,"MKP/Stock","8992727003827",12
,"MKP/Stock","8992727003841",0
,"MKP/Stock","8992727001694",9
,"MKP/Stock","8992727001687",9
,"MKP/Stock","8992727001793",11
,"MKP/Stock","8992727006330",9
,"MKP/Stock","8992727005111",0
,"MKP/Stock","8992727003537",1
,"MKP/Stock","8992727005166",4
,"MKP/Stock","8992727002875",15
,"MKP/Stock","8992727002882",6
,"MKP/Stock","8992727002837",7
,"MKP/Stock","8992727005937",1
,"MKP/Stock","4901301258748",5
,"MKP/Stock","4901301363268",1
,"MKP/Stock","4901301363749",24
,"MKP/Stock","4901301368539",9
,"MKP/Stock","93552073",4
,"MKP/Stock","9300807327012",0
,"MKP/Stock","93551205",8
,"MKP/Stock","93553872",0
,"MKP/Stock","93549271",2
,"MKP/Stock","9300807301449",6
,"MKP/Stock","93549349",0
,"MKP/Stock","93549318",1
,"MKP/Stock","93551854",5
,"MKP/Stock","9300807301555",0
,"MKP/Stock","93549288",6
,"MKP/Stock","93550178",0
,"MKP/Stock","93549363",8
,"MKP/Stock","BLCMP",0
,"MKP/Stock","9300807302491",0
,"MKP/Stock","93551847",0
,"MKP/Stock","93549325",3
,"MKP/Stock","9300807301869",5
,"MKP/Stock","93553605",69
,"MKP/Stock","93549554",0
,"MKP/Stock","9300807302545",0
,"MKP/Stock","9300807308509",0
,"MKP/Stock","9300807313510",0
,"MKP/Stock","9300807308547",17
,"MKP/Stock","93549264",0
,"MKP/Stock","BM-VIT-D3",0
,"MKP/Stock","8997031665372-2",1
,"MKP/Stock","8997031665334",5
,"MKP/Stock","8997031665341",1
,"MKP/Stock","8997031665358",1
,"MKP/Stock","8997031665266",4
,"MKP/Stock","8997031662067",0
,"MKP/Stock","8997031665280",1
,"MKP/Stock","8997031665297",3
,"MKP/Stock","8997031662081",1
,"MKP/Stock","8997031665389",0
,"MKP/Stock","8997031661268",3
,"MKP/Stock","8997031665556",3
,"MKP/Stock","8997031665600",3
,"MKP/Stock","8997031665617",4
,"MKP/Stock","8997031661091",0
,"MKP/Stock","8997031665327",1
,"MKP/Stock","8997031661251",1
,"MKP/Stock","8997031665884",2
,"MKP/Stock","8997031665853",0
,"MKP/Stock","8997031665839",2
,"MKP/Stock","8997031665808",2
,"MKP/Stock","8997031660803",1
,"MKP/Stock","8997031661213",2
,"MKP/Stock","8997031661244",2
,"MKP/Stock","8997031662012",4
,"MKP/Stock","8997031665228",1
,"MKP/Stock","8997031665235",1
,"MKP/Stock","8997031665426",3
,"MKP/Stock","8997031661329",0
,"MKP/Stock","8997031665402",3
,"MKP/Stock","8997031665396",0
