"Inventory Reference","Inventories/Location","Inventories/Product","Inventories / Counted Quantity"
,"TMG/Stock","FA-0250",2
,"TMG/Stock","9317935258187",5
,"TMG/Stock","9317935258194",15
,"TMG/Stock","H40C0002",90
,"TMG/Stock","Ardium001",-15
,"TMG/Stock","F02G0003",3
,"TMG/Stock","8993536258613",0
,"TMG/Stock","8993536203552",0
,"TMG/Stock","8993536403099",0
,"TMG/Stock","8993536403174",0
,"TMG/Stock","8993536403082",0
,"TMG/Stock","8993536403136",0
,"TMG/Stock","8993536822050",0
,"TMG/Stock","8993536568712",0
,"TMG/Stock","8993536822111",0
,"TMG/Stock","8993536823101",0
,"TMG/Stock","8993536403105",0
,"TMG/Stock","8993536203019",0
,"TMG/Stock","8993536208694",0
,"TMG/Stock","8993536082447",0
,"TMG/Stock","8993536082669",0
,"TMG/Stock","8993536018422",0
,"TMG/Stock","8993536018439",0
,"TMG/Stock","8993536403181",0
,"TMG/Stock","8993536823019",0
,"TMG/Stock","8993536785300",0
,"TMG/Stock","8994805002463",120
,"TMG/Stock","8993347001651",0
,"TMG/Stock","FA-0125",0
,"TMG/Stock","F02N0003",390
,"TMG/Stock","F03B0011",0
,"TMG/Stock","F03B0010",0
,"TMG/Stock","8998777143520",0
,"TMG/Stock","8998777143919-Strip",1
,"TMG/Stock","8998777143148-Strip",0
,"TMG/Stock","FA-0031",20
,"TMG/Stock","FA-0032",70
,"TMG/Stock","FA-0033",0
,"TMG/Stock","FA-01201",190
,"TMG/Stock","FA00031",160
,"TMG/Stock","F02L0009",0
,"TMG/Stock","FA-2674",0
,"TMG/Stock","FA-2675",0
,"TMG/Stock","FM-142I5909",30
,"TMG/Stock","FA-0126",0
,"TMG/Stock","3282779228305",0
,"TMG/Stock","FM-WX10202541",220
,"TMG/Stock","F10E0002",100
,"TMG/Stock","AV1016",0
,"TMG/Stock","AV1011",0
,"TMG/Stock","9300830006472",0
,"TMG/Stock","4800888137319",0
,"TMG/Stock","9300830019380",0
,"TMG/Stock","8999999503918",0
,"TMG/Stock","8999999503901",0
,"TMG/Stock","FM-WX10202499",10
,"TMG/Stock","8993430167127",28
,"TMG/Stock","FA-2676",3
,"TMG/Stock","FA00035",9
,"TMG/Stock","F16A0002",5
,"TMG/Stock","FA00036",3
,"TMG/Stock","79656000078",0
,"TMG/Stock","79656649598",0
,"TMG/Stock","7965665205",0
,"TMG/Stock","79656400137",0
,"TMG/Stock","79656625233",0
,"TMG/Stock","79656652048",0
,"TMG/Stock","79656619409",0
,"TMG/Stock","FM-WX10201969",0
,"TMG/Stock","F08G0012",45
,"TMG/Stock","F08G0001",70
,"TMG/Stock","FA-01095",2
,"TMG/Stock","8995026802016",0
,"TMG/Stock","008-01240",0
,"TMG/Stock","F08P0004",0
,"TMG/Stock","8990057782733",0
,"TMG/Stock","8990057882730",0
,"TMG/Stock","8990057782740",0
,"TMG/Stock","8990057882747",0
,"TMG/Stock","8990057782771",0
,"TMG/Stock","BEBELAC4V1000",0
,"TMG/Stock","8993498210568",0
,"TMG/Stock","FM-WX10202425",162
,"TMG/Stock","H30E0001",210
,"TMG/Stock","H30D0005",2
,"TMG/Stock","8995026801040",18
,"TMG/Stock","8991003049023",9
,"TMG/Stock","8997050803373",0
,"TMG/Stock","8992725223463",0
,"TMG/Stock","8992725223586",0
,"TMG/Stock","F16E0003",3
,"TMG/Stock","F06D0002",0
,"TMG/Stock","F06D0003",0
,"TMG/Stock","F16E0004",1
,"TMG/Stock","F16E0006",0
,"TMG/Stock","F16E0022",0
,"TMG/Stock","8995232700700",0
,"TMG/Stock","8995232700724",9
,"TMG/Stock","8995232700472",4
,"TMG/Stock","8994591090026",2
,"TMG/Stock","8994591060029",0
,"TMG/Stock","FA-0130",0
,"TMG/Stock","8992858613315",0
,"TMG/Stock","8992843120200",0
,"TMG/Stock","8992843992111",18
,"TMG/Stock","8992843100608",4
,"TMG/Stock","8994133000056",0
,"TMG/Stock","8994133000162",0
,"TMG/Stock","8994133000179",0
,"TMG/Stock","8992843993644",0
,"TMG/Stock","8992843100615",0
,"TMG/Stock","8859350700571",0
,"TMG/Stock","8859350700540",0
,"TMG/Stock","8859350700557",0
,"TMG/Stock","8859350700564",0
,"TMG/Stock","8859350702216",-1
,"TMG/Stock","8859350702209",0
,"TMG/Stock","8992843121009",0
,"TMG/Stock","8992843101902",0
,"TMG/Stock","8994133000094",0
,"TMG/Stock","BETADINE-NS-A",0
,"TMG/Stock","BETADINE-NS-K",0
,"TMG/Stock","8992843120101",4
,"TMG/Stock","8992843120507",0
,"TMG/Stock","8992843110607",4
,"TMG/Stock","8992843100158",2
,"TMG/Stock","8992843100301",1
,"TMG/Stock","H0120002",0
,"TMG/Stock","8992843132258",0
,"TMG/Stock","8992843131015",0
,"TMG/Stock","8992843131008",0
,"TMG/Stock","FA00051",40
,"TMG/Stock","FA-0131",40
,"TMG/Stock","F06D0004",20
,"TMG/Stock","F16E0007",36
,"TMG/Stock","FA-0256",6
,"TMG/Stock","H30D0006",15
,"TMG/Stock","FA00053",0
,"TMG/Stock","6001159113744",1
,"TMG/Stock","6001159113751",0
,"TMG/Stock","6001159116684",1
,"TMG/Stock","6001159113737",0
,"TMG/Stock","BIOOIL-100",0
,"TMG/Stock","BIOOIL-200",5
,"TMG/Stock","BIOOIL-50",0
,"TMG/Stock","FM-WX10202422",18
,"TMG/Stock","FM-WX10202071",0
,"TMG/Stock","8994573000227",1
,"TMG/Stock","DNAIB500",0
,"TMG/Stock","3401381463298",0
,"TMG/Stock","3401560969757",0
,"TMG/Stock","3401560936988",0
,"TMG/Stock","3401399848254",0
,"TMG/Stock","3401399848193",0
,"TMG/Stock","3401528521157",0
,"TMG/Stock","3401353791220",0
,"TMG/Stock","3401360147508",0
,"TMG/Stock","3401348840421",0
,"TMG/Stock","3401573670282",0
,"TMG/Stock","3401575390447",0
,"TMG/Stock","797776423545",0
,"TMG/Stock","3401320655357",0
,"TMG/Stock","3401320655418",0
,"TMG/Stock","8992112003012",134
,"TMG/Stock","8992858213119",9
,"TMG/Stock","F16K0011",1
,"TMG/Stock","8992727001724",0
,"TMG/Stock","8992727005036",0
,"TMG/Stock","8992727006057",0
,"TMG/Stock","8992727006064",0
,"TMG/Stock","8992727006071",0
,"TMG/Stock","8992727005685",0
,"TMG/Stock","8992727005012",0
,"TMG/Stock","8992727005654",0
,"TMG/Stock","8992727004992",0
,"TMG/Stock","8992727003889",0
,"TMG/Stock","8992727006187",0
,"TMG/Stock","8992727000390",0
,"TMG/Stock","8992727002592",0
,"TMG/Stock","8992727001663",0
,"TMG/Stock","8992727004244",0
,"TMG/Stock","8992727006323",0
,"TMG/Stock","8992727006545",0
,"TMG/Stock","8992727004466",0
,"TMG/Stock","8992727004442",0
,"TMG/Stock","8992727004459",0
,"TMG/Stock","8992727005524",0
,"TMG/Stock","8992727006330",0
,"TMG/Stock","8992727005111",0
,"TMG/Stock","8992727005135",0
,"TMG/Stock","8992727005166",0
,"TMG/Stock","8992727002837",0
,"TMG/Stock","4901301258748",0
,"TMG/Stock","B30H0005",10
,"TMG/Stock","8993883880048",0
,"TMG/Stock","F08E0005",0
,"TMG/Stock","F08E0003",200
,"TMG/Stock","F08E0007",4
,"TMG/Stock","F08E0006",4
,"TMG/Stock","8993257101007",0
,"TMG/Stock","FA-0133",20
,"TMG/Stock","FA00059",1
,"TMG/Stock","FA00058",12
,"TMG/Stock","8995228500154",0
,"TMG/Stock","8992799141250",0
,"TMG/Stock","8992799146019",0
,"TMG/Stock","8992799140703",12
,"TMG/Stock","8992799100707",1
,"TMG/Stock","8992799658178",1
,"TMG/Stock","8992799144015",0
,"TMG/Stock","FM-WX10202528",200
,"TMG/Stock","8993430103897",530
,"TMG/Stock","8993430103897-Dexa",10
,"TMG/Stock","9300807304587",1
,"TMG/Stock","9300807301456",0
,"TMG/Stock","93552073",-6
,"TMG/Stock","9300807327012",0
,"TMG/Stock","93551205",-1
,"TMG/Stock","9300807302415",0
,"TMG/Stock","93553872",1
,"TMG/Stock","93549271",5
,"TMG/Stock","93351281",0
,"TMG/Stock","9300807301449",0
,"TMG/Stock","93549349",0
,"TMG/Stock","9300807301791",0
,"TMG/Stock","93549318",1
,"TMG/Stock","93551854",0
,"TMG/Stock","9300807301555",1
,"TMG/Stock","93551939",0
,"TMG/Stock","93549288",0
,"TMG/Stock","93550178",-2
,"TMG/Stock","93549363",1
,"TMG/Stock","93549332",0
,"TMG/Stock","93551991",0
,"TMG/Stock","9300807302491",10
,"TMG/Stock","93551847",0
,"TMG/Stock","93549325",11
,"TMG/Stock","9300807301869",0
,"TMG/Stock","93553605",2
,"TMG/Stock","9300807301906",0
,"TMG/Stock","93549554",2
,"TMG/Stock","9300807302545",3
,"TMG/Stock","9300807309001",0
,"TMG/Stock","9300807308509",2
,"TMG/Stock","9300807313510",0
,"TMG/Stock","9300807308547",0
,"TMG/Stock","9300807309766",0
,"TMG/Stock","93549301",0
,"TMG/Stock","9300807310137",1
,"TMG/Stock","93549264",-3
,"TMG/Stock","BM-VECR50",0
,"TMG/Stock","FM-142E005",56
,"TMG/Stock","FA-0034",0
,"TMG/Stock","8999908285003",0
,"TMG/Stock","8999908302205",27
,"TMG/Stock","8999908250803",0
,"TMG/Stock","8999908057709",22
,"TMG/Stock","8999908250902",0
,"TMG/Stock","001-11-00",0
,"TMG/Stock","8999908071903",33
,"TMG/Stock","8999908000200",0
,"TMG/Stock","8999908000705",5
,"TMG/Stock","FA-0262",40
,"TMG/Stock","FM-141H28023",-1
,"TMG/Stock","FA00063",2
,"TMG/Stock","FM-141H28022",0
,"TMG/Stock","FA-01005",1
,"TMG/Stock","FA-0134",0
,"TMG/Stock","FA-0135",0
,"TMG/Stock","FA-0136",870
,"TMG/Stock","FM-WX10202467",100
,"TMG/Stock","FA-2725",-2
,"TMG/Stock","FM-WX10202028",1
,"TMG/Stock","FM-WX10202025",0
,"TMG/Stock","6921012200032",1
,"TMG/Stock","6927762130131",0
,"TMG/Stock","H04L0001",1
,"TMG/Stock","H04L0002",1
,"TMG/Stock","F04L0024",2
,"TMG/Stock","8999809100634",4
,"TMG/Stock","FA-0266",96
,"TMG/Stock","8995228500314",20
,"TMG/Stock","VP-00421",0
,"TMG/Stock","B1G1-48193",0
,"TMG/Stock","VP-00282",0
,"TMG/Stock","VP-00283",0
,"TMG/Stock","VP-00284",0
,"TMG/Stock","4987188567227",-1
,"TMG/Stock","4987188567210",0
,"TMG/Stock","C2-001",4
,"TMG/Stock","8993883880093",18
,"TMG/Stock","8993005211125",0
,"TMG/Stock","8993005212016",0
,"TMG/Stock","8993005121011",0
,"TMG/Stock","8993005123015",0
,"TMG/Stock","8993005123022",0
,"TMG/Stock","8993005124012",2
,"TMG/Stock","8993005202031",7
,"TMG/Stock","8993005124029",6
,"TMG/Stock","8993005202024",3
,"TMG/Stock","8993005202055",6
,"TMG/Stock","8997010310156",3
,"TMG/Stock","FA00068",2
,"TMG/Stock","FA-0987",0
,"TMG/Stock","FA-0035",30
,"TMG/Stock","FA-0036",30
,"TMG/Stock","FA-0141",80
,"TMG/Stock","FA-0142",190
,"TMG/Stock","FA-0143",105
,"TMG/Stock","8994388101119",-15
,"TMG/Stock","FM-WX10202095",0
,"TMG/Stock","8994591007093",2
,"TMG/Stock","FA-0145",0
,"TMG/Stock","8994591007109",1
,"TMG/Stock","8994591006881",0
,"TMG/Stock","8993176120028",10
,"TMG/Stock","8993176120011",2
,"TMG/Stock","8993176111286",0
,"TMG/Stock","8993176111255",0
,"TMG/Stock","8993176111262",0
,"TMG/Stock","8993176111279",0
,"TMG/Stock","8993176720822",0
,"TMG/Stock","8993176720808",0
,"TMG/Stock","8993176721027",0
,"TMG/Stock","8993176110067",0
,"TMG/Stock","8993176110098",0
,"TMG/Stock","8993176110081",0
,"TMG/Stock","8993176110074",0
,"TMG/Stock","8993176811094",0
,"TMG/Stock","8993176721980",0
,"TMG/Stock","8993176721928",0
,"TMG/Stock","8993176720563",1
,"TMG/Stock","8993176803099",2
,"TMG/Stock","8993176803105",0
,"TMG/Stock","8993176720549",2
,"TMG/Stock","F02C0004",0
,"TMG/Stock","F02C0001",100
,"TMG/Stock","F02C0002",450
,"TMG/Stock","F02C0003",0
,"TMG/Stock","FA00079",30
,"TMG/Stock","FA-2677",6
,"TMG/Stock","FA00080",20
,"TMG/Stock","F02N0001",190
,"TMG/Stock","F02F0016",90
,"TMG/Stock","F02F0017",10
,"TMG/Stock","F02B0002",20
,"TMG/Stock","8995232700434",10
,"TMG/Stock","8995232700441",8
,"TMG/Stock","Carmed-01",0
,"TMG/Stock","F04L0003",213
,"TMG/Stock","F04L0004",397
,"TMG/Stock","FM-WX10202096",190
,"TMG/Stock","FM-WX10202451",0
,"TMG/Stock","FM-WX10202452",27
,"TMG/Stock","FA-0267",12
,"TMG/Stock","B30H0006",880
,"TMG/Stock","8994591080010",1
,"TMG/Stock","8994591010031",0
,"TMG/Stock","8994591010017",76
,"TMG/Stock","8994591010055",4
,"TMG/Stock","8994591010024",2
,"TMG/Stock","FA-0152",40
,"TMG/Stock","8999809100641",40
,"TMG/Stock","FA-0153",-10
,"TMG/Stock","FA00089",735
,"TMG/Stock","F08B0001",-10
,"TMG/Stock","F08B0008",159
,"TMG/Stock","F08B0003",1
,"TMG/Stock","F08B0004",4
,"TMG/Stock","F02B0003",40
,"TMG/Stock","8994805021068",150
,"TMG/Stock","F08B0006",0
,"TMG/Stock","FA-01000",12
,"TMG/Stock","8992858417210",30
,"TMG/Stock","8992858618211",30
,"TMG/Stock","F08B0010",3
,"TMG/Stock","F04L0027",20
,"TMG/Stock","F04L00278",70
,"TMG/Stock","FA-0087",1
,"TMG/Stock","FA-0088",0
,"TMG/Stock","FA-0089",9
,"TMG/Stock","F14G0001",1
,"TMG/Stock","8992989010335",0
,"TMG/Stock","F2150001",0
,"TMG/Stock","F2150002",1
,"TMG/Stock","FA-01042",0
,"TMG/Stock","F2150003",-1
,"TMG/Stock","F2150004",4
,"TMG/Stock","F2150005",7
,"TMG/Stock","8992989010564",3
,"TMG/Stock","FA-01043",1
,"TMG/Stock","8992989010410",0
,"TMG/Stock","FA-01044",-1
,"TMG/Stock","FA-01045",4
,"TMG/Stock","8992989010069",6
,"TMG/Stock","FA00096",0
,"TMG/Stock","FM-WX10202167",3
,"TMG/Stock","FM-WX10202169",1
,"TMG/Stock","FM-WX10202170",0
,"TMG/Stock","FM-WX10202171",4
,"TMG/Stock","8992989010175",2
,"TMG/Stock","8992989010199",0
,"TMG/Stock","H1210001",1
,"TMG/Stock","H1210002",2
,"TMG/Stock","F2120003",1
,"TMG/Stock","80040318",0
,"TMG/Stock","FA00105",6
,"TMG/Stock","FA-0588",6
,"TMG/Stock","FA00107",0
,"TMG/Stock","FM-WX10202588",6
,"TMG/Stock","FA00108",3
,"TMG/Stock","FA00110",2
,"TMG/Stock","Cendo-T-001",2
